"subject_id","story","first_actual","strategy","first_response","second_response","symmetric","Expectations","n_benefit","n_effort","diff_benefit","diff_effort","ci_lower_benefit","ci_lower_effort","ci_upper_benefit","ci_upper_effort","mean_benefit","mean_effort"
"222f3c3985e9ae38dc2e7e2105e8beea","family meals","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"222f3c3985e9ae38dc2e7e2105e8beea","groceries","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"222f3c3985e9ae38dc2e7e2105e8beea","police","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"222f3c3985e9ae38dc2e7e2105e8beea","conversation","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"222f3c3985e9ae38dc2e7e2105e8beea","architects","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"222f3c3985e9ae38dc2e7e2105e8beea","scheduling","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"222f3c3985e9ae38dc2e7e2105e8beea","gifts","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"704b6e73048e86640c6efbeaf4992e4e","weekend","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"704b6e73048e86640c6efbeaf4992e4e","meeting prep","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"704b6e73048e86640c6efbeaf4992e4e","feedback","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"704b6e73048e86640c6efbeaf4992e4e","police","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"704b6e73048e86640c6efbeaf4992e4e","housemates","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"704b6e73048e86640c6efbeaf4992e4e","babysitting","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"704b6e73048e86640c6efbeaf4992e4e","groceries","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"704b6e73048e86640c6efbeaf4992e4e","family meals","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"704b6e73048e86640c6efbeaf4992e4e","concerts","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"704b6e73048e86640c6efbeaf4992e4e","restaurant","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"704b6e73048e86640c6efbeaf4992e4e","meeting location","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"704b6e73048e86640c6efbeaf4992e4e","group project","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"704b6e73048e86640c6efbeaf4992e4e","fundraising","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"704b6e73048e86640c6efbeaf4992e4e","scheduling","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"704b6e73048e86640c6efbeaf4992e4e","architects","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"704b6e73048e86640c6efbeaf4992e4e","gifts","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"704b6e73048e86640c6efbeaf4992e4e","conversation","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"704b6e73048e86640c6efbeaf4992e4e","coffee","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"f5b12584f2dda7334ead38910742a504","housemates","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"f5b12584f2dda7334ead38910742a504","groceries","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"f5b12584f2dda7334ead38910742a504","weekend","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"f5b12584f2dda7334ead38910742a504","scheduling","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"f5b12584f2dda7334ead38910742a504","coffee","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"f5b12584f2dda7334ead38910742a504","concerts","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"f5b12584f2dda7334ead38910742a504","police","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"f5b12584f2dda7334ead38910742a504","fundraising","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"f5b12584f2dda7334ead38910742a504","family meals","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"f5b12584f2dda7334ead38910742a504","restaurant","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"f5b12584f2dda7334ead38910742a504","conversation","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"f5b12584f2dda7334ead38910742a504","group project","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"f5b12584f2dda7334ead38910742a504","feedback","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"f5b12584f2dda7334ead38910742a504","meeting location","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"f5b12584f2dda7334ead38910742a504","babysitting","Lower","Reciprocity","Lower","Higher","Asymmetric","Consistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"f5b12584f2dda7334ead38910742a504","architects","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"f5b12584f2dda7334ead38910742a504","meeting prep","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"f5b12584f2dda7334ead38910742a504","gifts","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"55b8f79dc8e4c81da9b0b1d37fdd2c51","coffee","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"55b8f79dc8e4c81da9b0b1d37fdd2c51","meeting location","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"55b8f79dc8e4c81da9b0b1d37fdd2c51","police","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"55b8f79dc8e4c81da9b0b1d37fdd2c51","groceries","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"55b8f79dc8e4c81da9b0b1d37fdd2c51","fundraising","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"55b8f79dc8e4c81da9b0b1d37fdd2c51","feedback","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"55b8f79dc8e4c81da9b0b1d37fdd2c51","meeting prep","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"55b8f79dc8e4c81da9b0b1d37fdd2c51","gifts","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"55b8f79dc8e4c81da9b0b1d37fdd2c51","restaurant","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"55b8f79dc8e4c81da9b0b1d37fdd2c51","scheduling","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"55b8f79dc8e4c81da9b0b1d37fdd2c51","babysitting","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"55b8f79dc8e4c81da9b0b1d37fdd2c51","conversation","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"55b8f79dc8e4c81da9b0b1d37fdd2c51","family meals","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"55b8f79dc8e4c81da9b0b1d37fdd2c51","architects","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"55b8f79dc8e4c81da9b0b1d37fdd2c51","weekend","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"55b8f79dc8e4c81da9b0b1d37fdd2c51","housemates","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"55b8f79dc8e4c81da9b0b1d37fdd2c51","group project","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"55b8f79dc8e4c81da9b0b1d37fdd2c51","concerts","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","groceries","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","meeting location","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","meeting prep","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","housemates","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","restaurant","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","concerts","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","weekend","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","family meals","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","feedback","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","coffee","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","police","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","gifts","Higher","Reciprocity","Higher","Lower","Asymmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","scheduling","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","architects","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","conversation","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","group project","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","babysitting","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"24a1bcb2c8d46ac9fbfdd21c1db07ecd","fundraising","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"785af0d983774d47b3ce074271e802c4","scheduling","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,2.12068965517241,1,1.64278571428571,0.575707898658718,2.62903225806452,1.40397660818713,2.13137983910964,0.996931282336261
"785af0d983774d47b3ce074271e802c4","housemates","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"785af0d983774d47b3ce074271e802c4","restaurant","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"785af0d983774d47b3ce074271e802c4","feedback","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"785af0d983774d47b3ce074271e802c4","gifts","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"785af0d983774d47b3ce074271e802c4","concerts","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.73214285714286,2.47457627118644,2.23518099547511,2.044375,3.20014705882353,2.85974880382775,2.72971401396074,2.4610984019289
"785af0d983774d47b3ce074271e802c4","groceries","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.93103448275862,1.83050847457627,2.43839546783626,1.452734375,3.36875598086124,2.24107142857143,2.92515446130523,1.82728540279804
"785af0d983774d47b3ce074271e802c4","babysitting","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
"785af0d983774d47b3ce074271e802c4","group project","Higher","Precedent","Lower","Higher","Asymmetric","Inconsistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"785af0d983774d47b3ce074271e802c4","conversation","Lower","Reciprocity","Lower","Higher","Asymmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"785af0d983774d47b3ce074271e802c4","fundraising","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"785af0d983774d47b3ce074271e802c4","meeting prep","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"785af0d983774d47b3ce074271e802c4","meeting location","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,0.410714285714286,1.16949152542373,0.0150000000000001,0.872694805194805,0.81640447845805,1.46153846153846,0.413773810859442,1.16730940352426
"785af0d983774d47b3ce074271e802c4","coffee","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"785af0d983774d47b3ce074271e802c4","weekend","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"785af0d983774d47b3ce074271e802c4","architects","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"785af0d983774d47b3ce074271e802c4","police","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"785af0d983774d47b3ce074271e802c4","family meals","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,2.24137931034483,3.59322033898305,1.62062695924765,3.13107398066414,2.81650660264106,4.01725677339901,2.24381611921402,3.59542828261031
"5d7b3fbe2b558cfa2bbc8fc787b21da0","fundraising","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.912280701754386,2.6271186440678,0.371710526315789,2.24989035087719,1.47651975683891,2.9819050802139,0.89912098826636,2.62994369841563
"5d7b3fbe2b558cfa2bbc8fc787b21da0","housemates","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,1.05263157894737,1.91525423728814,0.630414653784219,1.4339465408805,1.46446428571429,2.33871651175506,1.04861374171997,1.90546635928757
"5d7b3fbe2b558cfa2bbc8fc787b21da0","police","Lower","Precedent","Lower","Lower","Asymmetric","Consistent",58,59,3.17241379310345,2.71186440677966,2.51834625322997,2.09602272727273,3.78090921300027,3.23638674884438,3.17846064943688,2.70419493789088
"5d7b3fbe2b558cfa2bbc8fc787b21da0","feedback","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,1.31034482758621,0.288135593220339,0.883072859344046,0,1.75010245901639,0.578989813242784,1.31002906280608,0.280742022228618
"5d7b3fbe2b558cfa2bbc8fc787b21da0","coffee","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,2.03448275862069,2.08474576271186,1.5765350877193,1.65991791044776,2.48842694164107,2.44444444444444,2.02583866279633,2.085356746646
"5d7b3fbe2b558cfa2bbc8fc787b21da0","architects","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.19298245614035,1.72413793103448,0.745352664576802,1.42178267045455,1.634765625,2.0578125,1.18803040197892,1.72801143005907
"5d7b3fbe2b558cfa2bbc8fc787b21da0","group project","Lower","Precedent","Higher","Lower","Asymmetric","Inconsistent",58,59,-0.172413793103448,1.79661016949153,-0.773584905660377,1.24991438356164,0.369991438356164,2.34068367346939,-0.180941984538132,1.80435060148817
"5d7b3fbe2b558cfa2bbc8fc787b21da0","restaurant","Higher","Reciprocity","Lower","Lower","Asymmetric","Inconsistent",58,59,2.56896551724138,0.457627118644068,2.06110897189064,-0.0170573386224303,3.09273679417122,0.931162876008804,2.57419955784271,0.465163648916783
"5d7b3fbe2b558cfa2bbc8fc787b21da0","conversation","Higher","Precedent","Higher","Higher","Asymmetric","Consistent",58,59,0.879310344827586,-0.11864406779661,0.46551724137931,-0.471747765640516,1.33971416502394,0.203389830508475,0.878341982215326,-0.117292721594781
"5d7b3fbe2b558cfa2bbc8fc787b21da0","gifts","Equal","Precedent","Equal","Equal","Symmetric","Consistent",58,59,3.29824561403509,3.64406779661017,2.54092055485498,2.99960317460317,3.94741302408564,4.24502551020408,3.30515941053322,3.65639876683985
"5d7b3fbe2b558cfa2bbc8fc787b21da0","weekend","Lower","Reciprocity","Higher","Higher","Asymmetric","Inconsistent",58,59,1.78947368421053,1.79310344827586,1.20746053138236,1.24989754098361,2.39291943521595,2.30323232323232,1.79660541482461,1.78408859367658
"5d7b3fbe2b558cfa2bbc8fc787b21da0","meeting prep","Equal","Reciprocity","Equal","Equal","Symmetric","Consistent",58,59,1.17241379310345,2.59322033898305,0.645758928571429,2.22913925438597,1.67284457478006,2.98414502164502,1.1618115530606,2.60024614603564
"5d7b3fbe2b558cfa2bbc8fc787b21da0","babysitting","Lower","Reciprocity","Lower","Higher","Asymmetric","Consistent",58,59,3.24137931034483,2.66101694915254,2.61988461538462,2.15245221781464,3.76842523860021,3.1250496031746,3.24067794402375,2.65897371256368
